"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Bootstrapping Service Mesh Implementations with Istio: Build reliable, scalable, and secure microservices on Kubernetes with Service Mesh","A. Rai",NA,"Bootstrapping Service Mesh Implementations with Istio: Build reliable, scalable, and secure microservices on Kubernetes with Service Mesh","","2023","","","","","A step-by-step guide to Istio Service Mesh implementation, with examples of complex and distributed workloads built using microservices architecture and deployed in Kubernetes Purchase of the print or Kindle book includes a free PDF eBookKey FeaturesLearn the design, implementation, and troubleshooting of Istio in a clear and concise formatGrasp concepts, ideas, and solutions that can be readily applied in real work environmentsSee Istio in action through examples that cover Terraform, GitOps, AWS, Kubernetes, and GoBook DescriptionIstio is a game-changer in managing connectivity and operational efficiency of microservices, but implementing and using it in applications can be challenging. This book will help you overcome these challenges and gain insights into Istio's features and functionality layer by layer with the help of easy-to-follow examples. It will let you focus on implementing and deploying Istio on the cloud and in production environments instead of dealing with the complexity of demo apps.  You'll learn the installation, architecture, and components of Istio Service Mesh, perform multi-cluster installation, and integrate legacy workloads deployed on virtual machines. As you advance, you'll understand how to secure microservices from threats, perform multi-cluster deployments on Kubernetes, use load balancing, monitor application traffic, implement service discovery and management, and much more. You’ll also explore other Service Mesh technologies such as Linkerd, Consul, Kuma, and Gloo Mesh. In addition to observing and operating Istio using Kiali, Prometheus, Grafana and Jaeger, you'll perform zero-trust security and reliable communication between distributed applications. After reading this book, you'll be equipped with the practical knowledge and skills needed to use and operate Istio effectively.What you will learnGet an overview of Service Mesh and the problems it solvesBecome well-versed with the fundamentals of Istio, its architecture, installation, and deploymentExtend the Istio data plane using WebAssembly (Wasm) and learn why Envoy is used as a data planeUnderstand how to use OPA Gatekeeper to automate Istio’s best practicesManage communication between microservices using IstioExplore different ways to secure the communication between microservicesGet insights into traffic flow in the Service MeshLearn best practices to deploy and operate Istio in production environmentsWho this book is forThe book is for DevOps engineers, SREs, cloud and software developers, sysadmins, and architects who have been using microservices in Kubernetes-based environments. It addresses challenges in application networking during microservice communications. Working experience on Kubernetes, along with knowledge of DevOps, application networking, security, and programming languages like Golang, will assist with understanding the concepts covered.","","9781803235967","","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10251187.pdf&bkn=10251187&pdfType=book","","","","","","","","14 Sep 2023","","","Packt Publishing","Packt Publishing eBooks"
"Latency and RAM Usage Comparison of Advanced and Lightweight Service Mesh","F. Adinegoro; C. Rahmania; I. N. Zaini; R. M. Negara; S. N. Hertiana","Adaptive Network Laboratory, School of Electrical Engineering, Telkom University, Indonesia; Adaptive Network Laboratory, School of Electrical Engineering, Telkom University, Indonesia; Adaptive Network Laboratory, School of Electrical Engineering, Telkom University, Indonesia; Telecommunication Engineering, School of Electrical Engineering, Telkom University, Indonesia; Telecommunication Engineering, School of Electrical Engineering, Telkom University, Indonesia",2022 5th International Seminar on Research of Information Technology and Intelligent Systems (ISRITI),"7 Mar 2023","2022","","","369","372","The growth of application users in the Industrial revolution 4.0 era is vast. With more application users, more features are required, and the application should be more complex. The more complex an application, the more difficult it is to manage. In the current era, applications with many features no longer use monolithic-based applications because they are challenging to manage. The solution to this is to use microservices. Microservices need a service mesh that helps to connect, secure, control, and monitor microservices. Service mesh addresses the complexities of transitioning from monolithic applications to distributed applications with microservices. Currently, the service mesh that is often used is Istio. Istio is called an advanced service mesh because of its complexity. The solution to this complex problem is Linkerd. Linkerd is called a lightweight service mesh because it is simple and lightweight. Some claim that Linkerd performs better than Istio and uses more efficient resources. This study aims to compare Istio and Linkerd in terms of latency applications microservices. The results show that Linkerd excels in RAM usage efficiency and low latency in application frontend management. However, if you want low latency performance on the application backend, then using Istio will be more appropriate.","","978-1-6654-5512-1","10.1109/ISRITI56927.2022.10052905","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10052905","Service Mesh;Microservice;Lightweight Service Mesh;LINKERD;ISTIO","Seminars;Microservice architectures;Random access memory;Benchmark testing;Complexity theory;Fourth Industrial Revolution;Low latency communication","","6","","12","IEEE","7 Mar 2023","8-9 Dec. 2022","8-9 Dec. 2022","IEEE","IEEE Conferences"
"Comparative Evaluation of Linkerd and Istio Service Meshes in a Microservices Architecture Application","K. Bosquez; X. Caiza; L. Núñez; J. Monar","Information Technology, Computer Science and Electronics, ESPOCH, Riobamba, Ecuador; Information Technology, Computer Science and Electronics, ESPOCH, Riobamba, Ecuador; Information Technology, Computer Science and Electronics, ESPOCH, Riobamba, Ecuador; Information Technology, Computer Science and Electronics, ESPOCH, Riobamba, Ecuador",2025 IEEE Colombian Caribbean Conference (C3),"23 Jan 2026","2025","","","1","6","The purpose of this study is to conduct a comparative evaluation of the Linkerd and Istio service meshes in terms of CPU consumption, RAM memory, and latency in microservice architectures. A problem was identified related to the lack of practical evidence that objectively compares the performance of Istio and Linkerd service meshes, especially in terms of latency, CPU consumption, and RAM. To address this problem, a mixed approach was adopted that combined systematic literature review using PRISMA, experimental design with Design Science Research (DSR), and quantitative analysis using the SEMMA methodology. The Online Boutique application was deployed on Kubernetes, alternating between Istio and Linkerd implementations, and key metrics such as latency, CPU, and RAM usage were measured using metricsserver under low, medium, and high load scenarios. The results revealed that Linkerd had lower average latency (104 ms vs. 135 ms), lower CPU and RAM consumption, and greater stability under high load, with no errors recorded, while Istio reached high consumption peaks and presented internal failures. These results imply that Linkerd is more suitable for environments that prioritize efficiency and performance, while Istio remains useful when advanced observability and control features are required. This research provides relevant empirical evidence to guide decisions in the selection of service meshes in distributed architectures.","","979-8-3315-7142-9","10.1109/C366505.2025.11340184","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11340184","Service Mesh;Linkerd;Istio;Microservices;Performance","Measurement;Memory management;Random access memory;Microservice architectures;Stability analysis;Observability;Sustainable development;Thermal stability;Stress;Systematic literature review","","","","21","IEEE","23 Jan 2026","17-20 Sept. 2025","17-20 Sept. 2025","IEEE","IEEE Conferences"
"Microarchitectural Analysis and Characterization of Performance Overheads in Service Meshes with Kubernetes","S. Kurpad; S. BT; S. Vijaykumar; S. Jain; S. Kalambur","Department of Computer Science, PES University, Bengaluru, India; Department of Computer Science, PES University, Bengaluru, India; Department of Computer Science, PES University, Bengaluru, India; Department of Computer Science, PES University, Bengaluru, India; Department of Computer Science, PES University, Bengaluru, India",2023 3rd Asian Conference on Innovation in Technology (ASIANCON),"10 Oct 2023","2023","","","1","6","The cloud is an emerging paradigm, swiftly changing the information technology landscape by managing and providing high-quality services over the internet. With technology stacks moving to the cloud, microservices-based architecture (MSA) is becoming increasingly common. MSA consists of small, modular, and loosely coupled services that communicate over the network via well-defined APIs. Although an MSA may significantly boost the speed and efficiency of software service delivery, it also makes systems more operationally complex. Service meshes have emerged as a viable solution to alleviate this problem by adding a dedicated infrastructure layer on top of the microservices architecture without altering the service implementations. We have performed a thorough measurement and examination of the overheads associated with deploying microservices in a service mesh using wrk2 for latency sensitivity analysis and Linux-perf for microarchitectural analysis. We present a comprehensive overview of the overheads in terms of CPU cycles, system instructions, page faults, and cache misses in deploying a state-of-the-art service mesh (Istio) on a Kubernetes cluster running a benchmark microservices application (Death-StarBench).","","979-8-3503-0228-8","10.1109/ASIANCON58793.2023.10270428","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10270428","Microservices;Cloud computing;Service meshes;Istio;Empirical analysis;Microarchitectural analysis","Performance evaluation;Cloud computing;Technological innovation;Microarchitecture;Sensitivity analysis;Microservice architectures;Symbols","","1","","16","IEEE","10 Oct 2023","25-27 Aug. 2023","25-27 Aug. 2023","IEEE","IEEE Conferences"
"Simulation of Vulnerability-Driven Trust Evaluation in Microservice Service Meshes","S. P. Ashwini; N. P. Sheba","School of Computer Science & Engineering, RV University, Bangalore, Karnataka, India; School of Computer Science & Engineering, RV University, Bangalore, Karnataka, India","2026 International Conference on Intelligent and Innovative Technologies in Computing, Electrical and Electronics (IITCEE)","25 Feb 2026","2026","","","1","5","The basis of today's discussion of distributed systems in security-critical areas such as $5 \mathrm{G} / 6 \mathrm{G}$ networks, finance, and healthcare comprises cloud-native microservice architectures and MSAs. While enabling secure communication, service meshes lack the runtime trust assessment capabilities required to dynamically determine the trustworthiness of individual microservices. This is a requirement and necessity with the widespread utilisation of third-party libraries and the ensuing supply-chain attacks. A simulation platform for vulnerability-driven trust measurement in MSAs has been created and implemented in this work, accommodating controlled vulnerability injections such as malicious or outdated dependencies. Vulnerability measurements, exploit indicators, and behavioural anomalies are processed by a runtime trust assessment module to produce dynamic trust scores. Service continuity, access control, and adaptive routing decisions are guided by these scores. Baseline static-security meshes are compared with a trust-aware variant in experiments under a range of attack scenarios, including supply-chain exploitation and lateral movement. Security resilience, latency, throughput, and trust-score convergence are some of the metrics of evaluation. The results show that trust-aware meshes can rapidly detect and invalidate compromised services, reducing attack dwell time and propagation while imposing an acceptable performance overhead. By introducing trust-adaptive behaviour into service coordination, our approach enhances runtime security for MSAs and provides a reproducible platform for subsequent work.","","979-8-3315-7746-9","10.1109/IITCEE67948.2026.11394470","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11394470","microservice architectures;service mesh;trust evaluation;runtime trust scoring;supply-chain vulnerabilities;vulnerability-driven trust;Kubernetes;Istio;simulation framework","Cloud computing;Runtime;Network topology;Scalability;Microservice architectures;Routing;Throughput;Robustness;Topology;Service level agreements","","","","23","IEEE","25 Feb 2026","22-23 Jan. 2026","22-23 Jan. 2026","IEEE","IEEE Conferences"
"Microservices with Spring Boot and Spring Cloud: Build resilient and scalable microservices using Spring Cloud, Istio, and Kubernetes","M. Larsson",NA,"Microservices with Spring Boot and Spring Cloud: Build resilient and scalable microservices using Spring Cloud, Istio, and Kubernetes","","2021","","","","","Create and deploy production-quality microservices-based applications — New edition updated for the smooth running of Spring, Java, Kubernetes, and Istio, with an introduction to Helm 3 and support for Mac and Windows with WSL2Key FeaturesBuild cloud-native production-ready microservices with this comprehensively updated guideUnderstand the challenges of building large-scale microservice architecturesLearn how to get the best out of Spring Cloud, Kubernetes, and Istio in combinationBook DescriptionWant to build and deploy microservices, but don’t know where to start? Welcome to Microservices with Spring Boot and Spring Cloud. This edition features the most recent versions of Spring, Java, Kubernetes, and Istio, demonstrating faster and simpler handling of Spring Boot, local Kubernetes clusters, and Istio installation. The expanded scope includes native compilation of Spring-based microservices, support for Mac and Windows with WSL2, and an introduction to Helm 3 for packaging and deployment. A revamped security chapter now follows the OAuth 2.1 specification and makes use of the newly launched Spring Authorization Server from the Spring team. You’ll start with a set of simple cooperating microservices, then add persistence and resilience, make your microservices reactive, and document their APIs using OpenAPI. Next, you’ll learn how fundamental design patterns are applied to add important functionality, such as service discovery with Netflix Eureka and edge servers with Spring Cloud Gateway. You’ll deploy your microservices using Kubernetes and adopt Istio, then explore centralized log management using the Elasticsearch, Fluentd, and Kibana (EFK) stack, and then monitor microservices using Prometheus and Grafana. By the end of this book, you'll be building scalable and robust microservices using Spring Boot and Spring Cloud.What you will learnBuild reactive microservices using Spring BootDevelop resilient and scalable microservices using Spring CloudUse OAuth 2.1/OIDC and Spring Security to protect public APIsImplement Docker to bridge the gap between development, testing, and productionDeploy and manage microservices with KubernetesApply Istio for improved security, observability, and traffic managementWrite and run automated microservice tests with JUnit, testcontainers, Gradle, and bashWho this book is forIf you’re a Java or Spring Boot developer learning how to build microservice landscapes from scratch, then this book is for you. You don’t need any prior knowledge about microservices architecture to get started, but a solid grasp and enough experience in Java and Spring Boot to build apps autonomously is a must.","","9781801079150","","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10163129.pdf&bkn=10163129&pdfType=book","","","","","","","","27 Jun 2023","","","Packt Publishing","Packt Publishing eBooks"
"The Utilisation and Implementation of the Istio Framework in the Architectonic Progression of Online Learning Platform","B. Qi; Y. Yu; X. Li","Shenyang Institute of Computing Technology, University of Chinese Academy of Sciences, Shenyang, China; Shenyang Institute of Computing Technology, University of Chinese Academy of Sciences, Beijing, China; Backend Development Centre, Beijing Zhongke Zhihe Digital Technology Co., Ltd, Beijing, China",2024 13th International Conference of Information and Communication Technology (ICTech),"5 Mar 2025","2024","","","182","186","Online education platforms have become increasingly significant with the rapid development of ""Internet + Education"". This paper details the evolution of an online learning platform from a traditional monolithic application architecture to a Service Mesh architecture, incorporating the use of the Istio framework. Though efficient in its initial stages, the monolithic structure encountered performance bottlenecks in high concurrency and high throughput scenarios. By implementing the Service Mesh architecture, the platform reduced its latency under identical hardware conditions. The performance tests reveal that, in high concurrency and throughput scenarios, the Service Mesh architecture outperforms traditional microservices and monolithic structures, exhibiting considerable advantages. This highlights the Service Mesh architecture's potential in improving the platform's performance, scalability, and maintainability.","","979-8-3503-7625-8","10.1109/ICTech63197.2024.00043","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10900907","online education platform;service mesh;istio;microservices;kubernetes","Concurrent computing;Scalability;Education;Microservice architectures;Throughput;Hardware;Internet;Information and communication technology","","","","19","IEEE","5 Mar 2025","12-14 April 2024","12-14 April 2024","IEEE","IEEE Conferences"
"Analyzing and Monitoring Kubernetes Microservices based on Distributed Tracing and Service Mesh","Y. -T. Wang; S. -P. Ma; Y. -J. Lai; Y. -C. Liang","Department of Computer Science and Engineering, National Taiwan Ocean University, Keelung, Taiwan; Department of Computer Science and Engineering, National Taiwan Ocean University, Keelung, Taiwan; Department of Computer Science and Engineering, National Taiwan Ocean University, Keelung, Taiwan; Department of Computer Science and Engineering, National Taiwan Ocean University, Keelung, Taiwan",2022 29th Asia-Pacific Software Engineering Conference (APSEC),"16 Feb 2023","2022","","","477","481","The microservice system architecture (MSA) outperforms the monolithic system architecture in terms of maintainability, extensibility, scalability, and fault tolerance. This is prompting a widescale migration of software systems from existing monolith systems to MSA. Most microservice systems utilize container technology for deployment. The fact that Kubernetes (K8s) provides a fully-fledged toolchain for managing container-based applications is prompting many organizations to adopt the K8s protocol for microservice system deployment and operations. Microservice monitoring is essential to the success of any service operation. The collection of logs and aggregation of metrics by most existing microservice monitoring systems is somewhat intrusive. Furthermore, the heterogeneity of Kubernetes technology means that most monitoring methods are inapplicable in situations where microservices are developed for a system using a variety of underlying languages and platforms. In the current study, we developed a monitoring mechanism that provides various metrics specific to microservice systems in a nonintrusive way. The proposed K8s-based microservice monitoring system, referred to as KMamiz (Kubernetes-based Microservice Analysis and Monitoring using Istio and Zipkin), enables the construction and visualization for service-level/endpoint-level dependency graphs and endpoint request chains, and the service cohesion/coupling analysis to enhance system quality for the development team.","2640-0715","978-1-6654-5537-4","10.1109/APSEC57359.2022.00066","National Science and Technology Council; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10043222","Microservice;Kubernetes;Microservice Monitoring;Distributed Tracing;Service Mesh","Measurement;Visualization;Protocols;Scalability;Microservice architectures;Systems architecture;Telecommunication traffic","","9","","16","IEEE","16 Feb 2023","6-9 Dec. 2022","6-9 Dec. 2022","IEEE","IEEE Conferences"
"Boosting Microservice Resilience: An Evaluation of Istio’s Impact on Kubernetes Clusters Under Chaos","S. Singh; C. H. Muntean; S. Gupta","National College of Ireland, Dublin, Ireland; National College of Ireland, Dublin, Ireland; National College of Ireland, Dublin, Ireland",2024 9th International Conference on Fog and Mobile Edge Computing (FMEC),"14 Oct 2024","2024","","","245","252","Microservices based architecture is increasingly popular for deploying cloud-native applications using small, decoupled modules. While this approach provides flexibility, it also increases the complexity to manage and maintain the application. Microservices are deployed on Kubernetes, which enables efficient resource management and scalability. However, resilience depends on individual services and pods. Chaos engineering tests resilience by injecting failures. Istio service mesh can improve stability and fault tolerance when deployed as part of the microservice. This paper explores the use of chaotic tests to evaluate Istio’s service’s impact on microservices resilience in Kubernetes, and optimal tuning. The performance is evaluated under increased load, measuring and analysing metrics such as response time, errors, resource usage, and requests per second. Results show the Istio service mesh offers better stability, faster responses, and failure resilience compared to traditional architectures.","","979-8-3503-6648-8","10.1109/FMEC62297.2024.10710237","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10710237","GKE;Kubernetes;Chaos Engineering;Resilience;Istio Service Mesh","Multi-access edge computing;Scalability;Microservice architectures;Computer architecture;Stability analysis;Time measurement;Time factors;Resource management;Tuning;Resilience","","5","","25","IEEE","14 Oct 2024","2-5 Sept. 2024","2-5 Sept. 2024","IEEE","IEEE Conferences"
"Istio API Gateway Impact to Reduce Microservice Latency and Resource Usage on Kubernetes","L. Nathaniel; G. V. Perdana; M. R. Hadiana; R. M. Negara; S. N. Hertiana","Adaptive Network Laboratory,School of Electrical Engineering, Telkom University, Indonesia; Adaptive Network Laboratory,School of Electrical Engineering, Telkom University, Indonesia; Adaptive Network Laboratory,School of Electrical Engineering, Telkom University, Indonesia; Telecommunication Engineering,School of Electrical Engineering, Telkom University, Indonesia; Telecommunication Engineering,School of Electrical Engineering, Telkom University, Indonesia",2023 International Seminar on Intelligent Technology and Its Applications (ISITIA),"23 Aug 2023","2023","","","43","47","The rapid development of technology has caused a massive demand for technology applications. Infrastructure plays a vital role in application performance, and unreliable infrastructure can hinder application performance, resulting in a poor customer experience. One of the core components that enables application accessibility is the proxy server, which routes incoming traffic to the application that executing business logic. The proxy server runs in the Kubernetes environment in the abstraction of operating system virtualization. As the gateway to applications running in the Kubernetes environment, a gateway server with excellent performance, reliability, and efficient resource utilization is required. The selection of the proxy server as the gateway to the backend application significantly impacts application performance from the user’s perspective. The experiment conducted in this research is to test the backend application accessed through two different proxy servers in the Kubernetes environment. This research compares the response time and hardware resource utilization of the proxy server application, representing common microservice architecture and mesh microservice. This paper proposed the modern microservice architecture and evaluate the performance of common microservice paradigm so enterprise application with high request rate can serve client with lowest latency and efficient resource. The results shows that the Istio ingress proxy is suitable for microservice applications with high request rates while nginx ingress proxy performs better when serving lower request.","2769-5492","979-8-3503-1395-6","10.1109/ISITIA59021.2023.10221035","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10221035","Proxy Server;API Gateway;Cloud Computing;Microservices;Service Mesh","Seminars;Operating systems;Microservice architectures;Computer architecture;Logic gates;Servers;Resource management","","7","","19","IEEE","23 Aug 2023","26-27 July 2023","26-27 July 2023","IEEE","IEEE Conferences"
