"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Emődi M.; Kovács J.; Lovas R.","Emődi, Márk (57203747115); Kovács, József (12795015200); Lovas, Róbert (22433533300)","57203747115; 12795015200; 22433533300","Mesh-Aware Debugging: Identifying Resource Allocation Issues in Distributed Microservices","2025","Acta Polytechnica Hungarica","22","12","","9","25","0","10.12700/APH.22.12.2025.12.2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105018936506&doi=10.12700%2FAPH.22.12.2025.12.2&partnerID=40&md5=c6ab54efb3d0b35a9c06203aa4c3ba0c","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105018936506"
"Zhang Y.; Wang L.; Cao C.; Tang X.","Zhang, Yan (58111959200); Wang, Liwen (58136331100); Cao, Chang (60160851400); Tang, Xiongyan (59899300800)","58111959200; 58136331100; 60160851400; 59899300800","Research on computing power network technology for stateless computing services; [面向无状态计算服务的算力网络技术研究]","2025","Tongxin Xuebao/Journal on Communications","46","9","","47","64","0","10.11959/j.issn.1000-436x.2025160","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105020063055&doi=10.11959%2Fj.issn.1000-436x.2025160&partnerID=40&md5=5056dd5f0e101ee7dce497d51dde3a85","Article","Final","","Scopus","2-s2.0-105020063055"
"Wang N.; Wang L.; Li X.; Qin X.","Wang, Ning (57222154104); Wang, Lin (58456973300); Li, Xin (55879907300); Qin, Xiaolin (8414129600)","57222154104; 58456973300; 55879907300; 8414129600","Fine-Grained Management for Microservice Applications with Lazy Configuration Distribution","2023","Electronics (Switzerland)","12","16","3404","","","1","10.3390/electronics12163404","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168959501&doi=10.3390%2Felectronics12163404&partnerID=40&md5=a9cef7188b4343b39d9e6da6729c31c4","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85168959501"
"Aldas S.; Babakian A.","Aldas, Saidulu (58725149000); Babakian, Andrew (57933742000)","58725149000; 57933742000","Cloud-Native Service Mesh Readiness for 5G and Beyond","2023","IEEE Access","11","","","132286","132295","14","10.1109/ACCESS.2023.3335994","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85178025709&doi=10.1109%2FACCESS.2023.3335994&partnerID=40&md5=7a7d6d8c1c34cc7cd49f1d51d20b0c00","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85178025709"
"Sappa A.","Sappa, Ankita (59981848000)","59981848000","Context-Aware Security Policies for Data-Driven Applications in Cloud-Native Architectures","2025","Journal of Internet Services and Information Security","15","2","","43","64","0","10.58346/JISIS.2025.I2.004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105012462690&doi=10.58346%2FJISIS.2025.I2.004&partnerID=40&md5=ef0d705b8a7cf174e1ef25259ecb0a87","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105012462690"
"Nagy M.; Levai T.; Nemeth F.; Panda A.; Antichi G.; Retvari G.","Nagy, Mate (54917272100); Levai, Tamas (60067734500); Nemeth, Felician (7004639645); Panda, Aurojit (55336403500); Antichi, Gianni (25924766600); Retvari, Gabor (6505795293)","54917272100; 60067734500; 7004639645; 55336403500; 25924766600; 6505795293","Elastic Scaling of Real-Time Communication Services","2026","IEEE Transactions on Network and Service Management","23","","","3393","3405","0","10.1109/TNSM.2026.3674598","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105033461413&doi=10.1109%2FTNSM.2026.3674598&partnerID=40&md5=2a47ada0c86b472c6d55851ff1727b3d","Article","Final","","Scopus","2-s2.0-105033461413"
"Wang Z.; Zhu J.; Guo J.; Liu Y.","Wang, Zhaoyang (59837740700); Zhu, Jinqi (55568134800); Guo, Jia (55795370700); Liu, Yang (57859669000)","59837740700; 55568134800; 55795370700; 57859669000","Microservice Deployment Based on Multiple Controllers for User Response Time Reduction in Edge-Native Computing","2025","Sensors","25","10","3248","","","1","10.3390/s25103248","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105006763095&doi=10.3390%2Fs25103248&partnerID=40&md5=30ccb6cf649c08e121cb5c53f70e5157","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105006763095"
"Fondo-Ferreiro P.; Gil-Castineira F.; Gonzalez-Castano F.J.; Candal-Ventureira D.","Fondo-Ferreiro, Pablo (57202612656); Gil-Castineira, Felipe (8988943300); Gonzalez-Castano, Francisco Javier (6603703432); Candal-Ventureira, David (57205363400)","57202612656; 8988943300; 6603703432; 57205363400","A Software-Defined Networking Solution for Interconnecting Network Functions in Service-Based Architectures","2022","IEEE Access","10","","","19905","19916","6","10.1109/ACCESS.2022.3152197","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124830662&doi=10.1109%2FACCESS.2022.3152197&partnerID=40&md5=331f068f6bf883fb59481eadae44abd3","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85124830662"
"Schneider S.; Khalili R.; Manzoor A.; Qarawlus H.; Schellenberg R.; Karl H.; Hecker A.","Schneider, Stefan (57193331091); Khalili, Ramin (9843046500); Manzoor, Adnan (57221265887); Qarawlus, Haydar (57221257906); Schellenberg, Rafael (57221267980); Karl, Holger (55950066600); Hecker, Artur (36466454900)","57193331091; 9843046500; 57221265887; 57221257906; 57221267980; 55950066600; 36466454900","Self-Learning Multi-Objective Service Coordination Using Deep Reinforcement Learning","2021","IEEE Transactions on Network and Service Management","18","3","9419067","3829","3842","38","10.1109/TNSM.2021.3076503","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105077595&doi=10.1109%2FTNSM.2021.3076503&partnerID=40&md5=bd01c3db9109dd42aba1b73d22b76c88","Article","Final","","Scopus","2-s2.0-85105077595"
"Cañete A.; Amor M.; Fuentes L.","Cañete, Angel (57210886346); Amor, Mercedes (7004952527); Fuentes, Lidia (7006580503)","57210886346; 7004952527; 7006580503","HADES: An NFV solution for energy-efficient placement and resource allocation in heterogeneous infrastructures","2024","Journal of Network and Computer Applications","221","","103764","","","17","10.1016/j.jnca.2023.103764","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174903531&doi=10.1016%2Fj.jnca.2023.103764&partnerID=40&md5=0f991ef1834d1f6b6564afc282e56936","Article","Final","","Scopus","2-s2.0-85174903531"
