Title,Year,Source,Database
"Bootstrapping Service Mesh Implementations with Istio: Build reliable, scalable, and secure microservices on Kubernetes with Service Mesh",2023,"Bootstrapping Service Mesh Implementations with Istio: Build reliable, scalable, and secure microservices on Kubernetes with Service Mesh",IEEE
Latency and RAM Usage Comparison of Advanced and Lightweight Service Mesh,2022,2022 5th International Seminar on Research of Information Technology and Intelligent Systems (ISRITI),IEEE
Comparative Evaluation of Linkerd and Istio Service Meshes in a Microservices Architecture Application,2025,2025 IEEE Colombian Caribbean Conference (C3),IEEE
Microarchitectural Analysis and Characterization of Performance Overheads in Service Meshes with Kubernetes,2023,2023 3rd Asian Conference on Innovation in Technology (ASIANCON),IEEE
Simulation of Vulnerability-Driven Trust Evaluation in Microservice Service Meshes,2026,"2026 International Conference on Intelligent and Innovative Technologies in Computing, Electrical and Electronics (IITCEE)",IEEE
"Microservices with Spring Boot and Spring Cloud: Build resilient and scalable microservices using Spring Cloud, Istio, and Kubernetes",2021,"Microservices with Spring Boot and Spring Cloud: Build resilient and scalable microservices using Spring Cloud, Istio, and Kubernetes",IEEE
The Utilisation and Implementation of the Istio Framework in the Architectonic Progression of Online Learning Platform,2024,2024 13th International Conference of Information and Communication Technology (ICTech),IEEE
Analyzing and Monitoring Kubernetes Microservices based on Distributed Tracing and Service Mesh,2022,2022 29th Asia-Pacific Software Engineering Conference (APSEC),IEEE
Boosting Microservice Resilience: An Evaluation of Istio’s Impact on Kubernetes Clusters Under Chaos,2024,2024 9th International Conference on Fog and Mobile Edge Computing (FMEC),IEEE
Istio API Gateway Impact to Reduce Microservice Latency and Resource Usage on Kubernetes,2023,2023 International Seminar on Intelligent Technology and Its Applications (ISITIA),IEEE
Benchmarking Container Orchestration Platforms: A Comparative Analysis of Kubernetes and AWS ECS for Stateful Microservices,2026,2026 IEEE 5th International Conference on AI in Cybersecurity (ICAIC),IEEE
Performance Comparison of Service Mesh Frameworks: The MTLS Test Case,2025,NOMS 2025-2025 IEEE Network Operations and Management Symposium,IEEE
Optimizing Scalability and Resilience in Digital Platforms Through Microservice Deployment Strategies,2025,"2025 12th International Conference on Reliability, Infocom Technologies and Optimization (Trends and Future Directions) (ICRITO)",IEEE
Data Processing Unit (DPU) Based Network Process Offloading for Efficient Service Meshes,2024,2024 IEEE 10th International Conference on Network Softwarization (NetSoft),IEEE
eZtunnel: Leveraging eBPF to Transparently Offload Service Mesh Data Plane Networking,2024,2024 IEEE 13th International Conference on Cloud Networking (CloudNet),IEEE
Demonstrating a System for Dynamically Meeting Management Objectives on a Service Mesh,2023,NOMS 2023-2023 IEEE/IFIP Network Operations and Management Symposium,IEEE
Uncertainty-Aware Hierarchical Graph Transformers for Adaptive Resource Optimization in Service Meshes,2026,2026 International Conference on Communication Networks and Machine Learning (CNML),IEEE
AI-Enhanced Pod Scheduling: Optimizing MERN and MEAN Stack Performance in Kubernetes,2025,"2025 International Conference on Data Science, Agents & Artificial Intelligence (ICDSAAI)",IEEE
AI-Driven Secure and Cloud-Native Microservice Architectures for High-Performance Financial and Hardware Accelerator Systems,2025,2025 Tenth International Conference on Science Technology Engineering and Mathematics (ICONSTEM),IEEE
Critical Limitations of the Least Outstanding Request Load Balancing Policy in Service Meshes for Large-Scale Microservice Applications,2025,IEEE Transactions on Network and Service Management,IEEE
Latency-Optimized Microservices Orchestration for Real-Time E-Commerce in Multi-Cloud Environments,2025,2025 International Conference on Computer and Applications (ICCA),IEEE
"Managing Multi-Cloud Deployments on Kubernetes with Istio, Prometheus and Grafana",2022,2022 8th International Conference on Advanced Computing and Communication Systems (ICACCS),IEEE
A Decentralized Microservice Scheduling Approach Using Service Mesh in Cloud-Edge Systems,2025,2025 IEEE International Conference on Joint Cloud Computing (JCC),IEEE
Network Policies in Kubernetes: Performance Evaluation and Security Analysis,2021,2021 Joint European Conference on Networks and Communications & 6G Summit (EuCNC/6G Summit),IEEE
Exploring How Service Meshes Can Help To Facilitate The Development Of Microservices,2024,2024 IEEE 15th International Conference on Software Engineering and Service Science (ICSESS),IEEE
eSeMeshA: eBPF-Based Service Mesh Acceleration for Cloud-Native Infrastructures,2025,2025 IEEE 11th International Conference on Network Softwarization (NetSoft),IEEE
Service Mesh and eBPF-Powered Microservices: A Survey and Future Directions,2022,2022 IEEE International Conference on Service-Oriented System Engineering (SOSE),IEEE
SDN-Based Service Function Chaining in Kubernetes Using Network Service Mesh with Kernel-type Network Interfaces for Industrial IoT,2024,2024 IEEE 10th World Forum on Internet of Things (WF-IoT),IEEE
Challenges and Opportunities in Performance Benchmarking of Service Mesh for the Edge,2021,2021 IEEE International Conference on Edge Computing (EDGE),IEEE
A Distributed Microservice Communication Framework for Cloud-Native Networks,2025,"2025 IEEE 4th International Conference on Computing, Communication, Perception and Quantum Technology (CCPQT)",IEEE
A Comparative Review of Microservices and Monolithic Architectures,2018,2018 IEEE 18th International Symposium on Computational Intelligence and Informatics (CINTI),IEEE
Vulnerability Assessment of Service Mesh Utilizing Fan-Out Requests,2025,"2025 International Conference on Communication, Computer, and Information Technology (IC3IT)",IEEE
Meta Learning for Improved Policy Transfer in Changing Network Environments,2025,2025 IEEE 11th International Conference on Network Softwarization (NetSoft),IEEE
Performance Analysis of Zero-Trust multi-cloud,2021,2021 IEEE 14th International Conference on Cloud Computing (CLOUD),IEEE
Evaluating the Performance of Sidecar-based and Sidecarless Cloud-native Service Mesh Solutions,2024,2024 IEEE International Conference on Advanced Networks and Telecommunications Systems (ANTS),IEEE
Research on A Lightweight Service Mesh Architecture Using eBPF,2023,2023 4th International Conference on Computer Engineering and Application (ICCEA),IEEE
NetMARKS: Network Metrics-AwaRe Kubernetes Scheduler Powered by Service Mesh,2021,IEEE INFOCOM 2021 - IEEE Conference on Computer Communications,IEEE
Development and Evaluation of Information-Centric Service Mesh Using NDN Function Chaining,2024,2024 IEEE 21st Consumer Communications & Networking Conference (CCNC),IEEE
An Open Interconnection System for Computing Power Based on Service Mesh,2025,"2025 IEEE 5th International Conference on Power, Electronics and Computer Applications (ICPECA)",IEEE
Improving the Security of Service Mesh in Kubernetes,2025,2025 IEEE 31th International Conference on Parallel and Distributed Systems (ICPADS),IEEE
Vulnerability Assessment of Service Mesh-Based Microservices Having Workflow Dependencies,2025,"2025 IEEE International Conference on Distributed Computing, VLSI, Electrical Circuits and Robotics (DISCOVER)",IEEE
eBPF-Enhanced Complete Observability Solution for Cloud-native Microservices,2024,ICC 2024 - IEEE International Conference on Communications,IEEE
Cloud-Native Service Mesh Readiness for 5G and Beyond,2023,IEEE Access,IEEE
DataXc: Flexible and efficient communication in microservices-based stream analytics pipelines,2022,"2022 IEEE Intl Conf on Dependable, Autonomic and Secure Computing, Intl Conf on Pervasive Intelligence and Computing, Intl Conf on Cloud and Big Data Computing, Intl Conf on Cyber Science and Technology Congress (DASC/PiCom/CBDCom/CyberSciTech)",IEEE
Architectural Trade-off Analysis of Modern Service Mesh Designs: A Qualitative ATAM Study,2025,"2025 2nd International Conference on Computational Intelligence, Communication Technology and Networking (CICTN)",IEEE
Interference Detection of Colocation Workloads in Cloud Sidecar Clusters,2023,2023 International Conference on High Performance Big Data and Intelligent Systems (HDIS),IEEE
Service Management in Virtual Machine and Container Mixed Environment using Service Mesh,2021,2021 International Conference on Information Networking (ICOIN),IEEE
