run_id,config,mesh,mtls,level,rep,steady_start_utc,steady_end_utc,row_type,service,scenario,rps_target,reqs,fail_rate,lat_avg_ms,lat_p50_ms,lat_p90_ms,lat_p95_ms,lat_p99_ms,lat_max_ms,app_cpu_milli_mean,app_cpu_milli_p95,sidecar_cpu_milli_mean,sidecar_cpu_milli_p95,app_mem_mib_mean,app_mem_mib_max,sidecar_mem_mib_mean,sidecar_mem_mib_max
baseline_differential_S2int_low_r1,baseline_differential_S2int,baseline,na,low,1,1789340770,1789340891,resource,permutation,,,,,,,,,,,0.28180060094306203,0.3737983791047679,,,149.49609375,149.49609375,,
baseline_differential_S2int_low_r1,baseline_differential_S2int,baseline,na,low,1,1789340770,1789340891,resource,fibonacci,,,,,,,,,,,0.149699149715006,0.19729892488159445,,,186.796875,186.796875,,
baseline_differential_S2int_low_r1,baseline_differential_S2int,baseline,na,low,1,1789340770,1789340891,resource,integration,,,,,,,,,,,18.601649113427055,25.370305569191206,,,183.88981119791666,185.0078125,,
baseline_differential_S2int_low_r1,baseline_differential_S2int,baseline,na,low,1,1789340770,1789340891,resource,differential,,,,,,,,,,,48.08355326444445,50.26487869628372,,,188.93489583333334,189.93359375,,
baseline_differential_S2int_low_r1,baseline_differential_S2int,baseline,na,low,1,1789340770,1789340891,resource,digital-filters,,,,,,,,,,,0.3745130267201664,0.45423852469759995,,,200.3203125,200.3203125,,
baseline_differential_S2int_low_r1,baseline_differential_S2int,baseline,na,low,1,1789340770,1789340891,resource,video,,,,,,,,,,,0.1318752859222021,0.17586797097409818,,,795.19921875,795.19921875,,
baseline_differential_S2int_low_r1,baseline_differential_S2int,baseline,na,low,1,1789340770,1789340891,resource,_ingress,,,,,,,,,,,10.204410865230663,,,,118.76497395833333,,,
baseline_differential_S2int_low_r1,baseline_differential_S2int,baseline,na,low,1,1789340770,1789340891,latency,differential,differential_solve,25,3001,0,2.2862442562479117,2.268457,2.839992,2.978613,3.262286,5.765013,,,,,,,,
baseline_differential_S2int_low_r2,baseline_differential_S2int,baseline,na,low,2,1789340960,1789341080,resource,permutation,,,,,,,,,,,0.29791973792720344,0.3831476098223473,,,149.49235026041666,149.49609375,,
baseline_differential_S2int_low_r2,baseline_differential_S2int,baseline,na,low,2,1789340960,1789341080,resource,fibonacci,,,,,,,,,,,0.15719485765716348,0.20195371008556862,,,186.796875,186.796875,,
baseline_differential_S2int_low_r2,baseline_differential_S2int,baseline,na,low,2,1789340960,1789341080,resource,integration,,,,,,,,,,,21.265041120508936,26.55281631077237,,,184.52913411458334,184.83984375,,
baseline_differential_S2int_low_r2,baseline_differential_S2int,baseline,na,low,2,1789340960,1789341080,resource,differential,,,,,,,,,,,34.97556149819546,46.22969141286691,,,191.86653645833334,192.94140625,,
baseline_differential_S2int_low_r2,baseline_differential_S2int,baseline,na,low,2,1789340960,1789341080,resource,digital-filters,,,,,,,,,,,0.35251449368151977,0.5230097689858448,,,200.3203125,200.3203125,,
baseline_differential_S2int_low_r2,baseline_differential_S2int,baseline,na,low,2,1789340960,1789341080,resource,video,,,,,,,,,,,0.13434774516351286,0.17041898846751594,,,795.19921875,795.19921875,,
baseline_differential_S2int_low_r2,baseline_differential_S2int,baseline,na,low,2,1789340960,1789341080,resource,_ingress,,,,,,,,,,,10.492988226775047,,,,118.72216796875,,,
baseline_differential_S2int_low_r2,baseline_differential_S2int,baseline,na,low,2,1789340960,1789341080,latency,differential,differential_solve,25,3000,0,2.5114437320000014,2.480771,3.0397789,3.2031761,3.563636849999997,7.256449,,,,,,,,
baseline_differential_S2int_low_r3,baseline_differential_S2int,baseline,na,low,3,1789341149,1789341269,resource,permutation,,,,,,,,,,,0.31087446762164966,0.4440154684961776,,,149.49609375,149.49609375,,
baseline_differential_S2int_low_r3,baseline_differential_S2int,baseline,na,low,3,1789341149,1789341269,resource,fibonacci,,,,,,,,,,,0.13813013828963164,0.17233012971346495,,,186.796875,186.796875,,
baseline_differential_S2int_low_r3,baseline_differential_S2int,baseline,na,low,3,1789341149,1789341269,resource,integration,,,,,,,,,,,17.42300060576503,20.556160812491115,,,184.27278645833334,184.7734375,,
baseline_differential_S2int_low_r3,baseline_differential_S2int,baseline,na,low,3,1789341149,1789341269,resource,differential,,,,,,,,,,,32.45902367967777,39.305884387294036,,,192.505859375,193.72265625,,
baseline_differential_S2int_low_r3,baseline_differential_S2int,baseline,na,low,3,1789341149,1789341269,resource,digital-filters,,,,,,,,,,,0.3442702332158151,0.4369215048396552,,,200.3203125,200.3203125,,
baseline_differential_S2int_low_r3,baseline_differential_S2int,baseline,na,low,3,1789341149,1789341269,resource,video,,,,,,,,,,,0.13634488014727533,0.16232837897381255,,,795.19921875,795.19921875,,
