run_id,config,mesh,level,rep,t_rel_s,kind,service,container,value
linkerd_mtls_low_r1,linkerd_mtls,linkerd,low,1,0.0,cpu_cores,permutation,app,0.0536
linkerd_mtls_low_r1,linkerd_mtls,linkerd,low,1,10.0,cpu_cores,permutation,app,0.0544
linkerd_mtls_low_r1,linkerd_mtls,linkerd,low,1,20.0,cpu_cores,permutation,app,0.0882
linkerd_mtls_low_r1,linkerd_mtls,linkerd,low,1,30.0,cpu_cores,permutation,app,0.0847
linkerd_mtls_low_r1,linkerd_mtls,linkerd,low,1,40.0,cpu_cores,permutation,app,0.0969
linkerd_mtls_low_r1,linkerd_mtls,linkerd,low,1,50.0,cpu_cores,permutation,app,0.0978
linkerd_mtls_low_r1,linkerd_mtls,linkerd,low,1,60.0,cpu_cores,permutation,app,0.0987
linkerd_mtls_low_r1,linkerd_mtls,linkerd,low,1,70.0,cpu_cores,permutation,app,0.0995
linkerd_mtls_low_r1,linkerd_mtls,linkerd,low,1,80.0,cpu_cores,permutation,app,0.0993
linkerd_mtls_low_r1,linkerd_mtls,linkerd,low,1,90.0,cpu_cores,permutation,app,0.1032
linkerd_mtls_low_r1,linkerd_mtls,linkerd,low,1,100.0,cpu_cores,permutation,app,0.0876
linkerd_mtls_low_r1,linkerd_mtls,linkerd,low,1,110.0,cpu_cores,permutation,app,0.0929
linkerd_mtls_low_r1,linkerd_mtls,linkerd,low,1,120.0,cpu_cores,permutation,app,0.0995
linkerd_mtls_low_r1,linkerd_mtls,linkerd,low,1,0.0,mem_mib,permutation,app,175.29
linkerd_mtls_low_r1,linkerd_mtls,linkerd,low,1,10.0,mem_mib,permutation,app,175.52
linkerd_mtls_low_r1,linkerd_mtls,linkerd,low,1,20.0,mem_mib,permutation,app,175.26
linkerd_mtls_low_r1,linkerd_mtls,linkerd,low,1,30.0,mem_mib,permutation,app,175.27
linkerd_mtls_low_r1,linkerd_mtls,linkerd,low,1,40.0,mem_mib,permutation,app,175.23
linkerd_mtls_low_r1,linkerd_mtls,linkerd,low,1,50.0,mem_mib,permutation,app,175.69
linkerd_mtls_low_r1,linkerd_mtls,linkerd,low,1,60.0,mem_mib,permutation,app,175.69
linkerd_mtls_low_r1,linkerd_mtls,linkerd,low,1,70.0,mem_mib,permutation,app,175.45
linkerd_mtls_low_r1,linkerd_mtls,linkerd,low,1,80.0,mem_mib,permutation,app,175.45
linkerd_mtls_low_r1,linkerd_mtls,linkerd,low,1,90.0,mem_mib,permutation,app,175.18
linkerd_mtls_low_r1,linkerd_mtls,linkerd,low,1,100.0,mem_mib,permutation,app,175.23
linkerd_mtls_low_r1,linkerd_mtls,linkerd,low,1,110.0,mem_mib,permutation,app,175.25
linkerd_mtls_low_r1,linkerd_mtls,linkerd,low,1,120.0,mem_mib,permutation,app,175.58
linkerd_mtls_low_r1,linkerd_mtls,linkerd,low,1,0.0,cpu_cores,fibonacci,app,0.0127
linkerd_mtls_low_r1,linkerd_mtls,linkerd,low,1,10.0,cpu_cores,fibonacci,app,0.0197
linkerd_mtls_low_r1,linkerd_mtls,linkerd,low,1,20.0,cpu_cores,fibonacci,app,0.0273
linkerd_mtls_low_r1,linkerd_mtls,linkerd,low,1,30.0,cpu_cores,fibonacci,app,0.028
linkerd_mtls_low_r1,linkerd_mtls,linkerd,low,1,40.0,cpu_cores,fibonacci,app,0.0248
linkerd_mtls_low_r1,linkerd_mtls,linkerd,low,1,50.0,cpu_cores,fibonacci,app,0.025
linkerd_mtls_low_r1,linkerd_mtls,linkerd,low,1,60.0,cpu_cores,fibonacci,app,0.0271
linkerd_mtls_low_r1,linkerd_mtls,linkerd,low,1,70.0,cpu_cores,fibonacci,app,0.0292
