run_id,config,mesh,mtls,level,rep,steady_start_utc,steady_end_utc,row_type,service,scenario,rps_target,reqs,fail_rate,lat_avg_ms,lat_p50_ms,lat_p90_ms,lat_p95_ms,lat_p99_ms,lat_max_ms,app_cpu_milli_mean,app_cpu_milli_p95,sidecar_cpu_milli_mean,sidecar_cpu_milli_p95,app_mem_mib_mean,app_mem_mib_max,sidecar_mem_mib_mean,sidecar_mem_mib_max
baseline_low_r1,baseline,baseline,na,low,1,1790084446,1790084568,resource,permutation,,,,,,,,,,,95.91290142428085,123.35976014835558,,,131.9345703125,132.76171875,,
baseline_low_r1,baseline,baseline,na,low,1,1790084446,1790084568,resource,fibonacci,,,,,,,,,,,223.29243981677126,253.70775851805882,,,161.248046875,161.546875,,
baseline_low_r1,baseline,baseline,na,low,1,1790084446,1790084568,resource,integration,,,,,,,,,,,35.60865161611838,43.730659293902924,,,167.35823567708334,167.68359375,,
baseline_low_r1,baseline,baseline,na,low,1,1790084446,1790084568,resource,differential,,,,,,,,,,,32.196566886169684,38.025284580978195,,,179.00895182291666,179.49609375,,
baseline_low_r1,baseline,baseline,na,low,1,1790084446,1790084568,resource,digital-filters,,,,,,,,,,,169.7292790327785,198.64816378398004,,,222.09488932291666,225.1171875,,
baseline_low_r1,baseline,baseline,na,low,1,1790084446,1790084568,resource,video,,,,,,,,,,,2444.17953960363,2809.189722295886,,,445.86572265625,520.96875,,
baseline_low_r1,baseline,baseline,na,low,1,1790084446,1790084568,resource,_ingress,,,,,,,,,,,56.03433041788863,,,,111.41617838541667,,,
baseline_low_r1,baseline,baseline,na,low,1,1790084446,1790084568,latency,permutation,permutation_generate,25,3000,0,4.881516166333331,4.7499305,5.753892,6.273482299999994,7.739170449999995,10.274685,,,,,,,,
baseline_low_r1,baseline,baseline,na,low,1,1790084446,1790084568,latency,fibonacci,fibonacci_calculate,25,3001,0,10.418317899700108,9.645788,13.271596,13.826994,15.13009,22.279356,,,,,,,,
baseline_low_r1,baseline,baseline,na,low,1,1790084446,1790084568,latency,integration,integration_calculate,25,3000,0,1.5104936143333323,1.4553525,1.7953372,1.989394849999996,2.5847963599999995,6.268178,,,,,,,,
baseline_low_r1,baseline,baseline,na,low,1,1790084446,1790084568,latency,digital-filters,filters_apply_image,25,3001,0,8.033878936687799,7.647065,9.144229,9.622163,11.716333,43.684652,,,,,,,,
baseline_low_r1,baseline,baseline,na,low,1,1790084446,1790084568,latency,differential,differential_solve,25,3001,0,2.1683566637787375,2.046882,2.657928,3.0822,4.832883,8.496923,,,,,,,,
baseline_low_r1,baseline,baseline,na,low,1,1790084446,1790084568,latency,video,video_compress,6,720,0,277.11050496527724,270.942723,298.99034420000004,304.6238818999999,316.75916454000003,324.716582,,,,,,,,
baseline_low_r1,baseline,baseline,na,low,1,1790084446,1790084568,latency,ai-external,ai_generate,1,121,0,503.71317576859514,455.599197,652.969313,656.578685,666.1041634000001,672.376825,,,,,,,,
baseline_low_r1,baseline,baseline,na,low,1,1790084446,1790084568,latency,permutation,permutation_from_ai,1,121,0,473.33232699173544,457.909685,493.718717,650.151864,658.499819,659.572324,,,,,,,,
