run_id,config,mesh,level,rep,t_rel_s,kind,service,container,value
baseline_low_r1,baseline,baseline,low,1,0.0,cpu_cores,permutation,app,0.0639
baseline_low_r1,baseline,baseline,low,1,10.0,cpu_cores,permutation,app,0.0975
baseline_low_r1,baseline,baseline,low,1,20.0,cpu_cores,permutation,app,0.1127
baseline_low_r1,baseline,baseline,low,1,30.0,cpu_cores,permutation,app,0.1258
baseline_low_r1,baseline,baseline,low,1,40.0,cpu_cores,permutation,app,0.1261
baseline_low_r1,baseline,baseline,low,1,50.0,cpu_cores,permutation,app,0.1179
baseline_low_r1,baseline,baseline,low,1,60.0,cpu_cores,permutation,app,0.1203
baseline_low_r1,baseline,baseline,low,1,70.0,cpu_cores,permutation,app,0.1213
baseline_low_r1,baseline,baseline,low,1,80.0,cpu_cores,permutation,app,0.1211
baseline_low_r1,baseline,baseline,low,1,90.0,cpu_cores,permutation,app,0.1151
baseline_low_r1,baseline,baseline,low,1,100.0,cpu_cores,permutation,app,0.1133
baseline_low_r1,baseline,baseline,low,1,110.0,cpu_cores,permutation,app,0.123
baseline_low_r1,baseline,baseline,low,1,120.0,cpu_cores,permutation,app,0.107
baseline_low_r1,baseline,baseline,low,1,0.0,mem_mib,permutation,app,130.16
baseline_low_r1,baseline,baseline,low,1,10.0,mem_mib,permutation,app,131.95
baseline_low_r1,baseline,baseline,low,1,20.0,mem_mib,permutation,app,131.92
baseline_low_r1,baseline,baseline,low,1,30.0,mem_mib,permutation,app,131.39
baseline_low_r1,baseline,baseline,low,1,40.0,mem_mib,permutation,app,131.56
baseline_low_r1,baseline,baseline,low,1,50.0,mem_mib,permutation,app,132.06
baseline_low_r1,baseline,baseline,low,1,60.0,mem_mib,permutation,app,131.85
baseline_low_r1,baseline,baseline,low,1,70.0,mem_mib,permutation,app,132.16
baseline_low_r1,baseline,baseline,low,1,80.0,mem_mib,permutation,app,131.63
baseline_low_r1,baseline,baseline,low,1,90.0,mem_mib,permutation,app,131.79
baseline_low_r1,baseline,baseline,low,1,100.0,mem_mib,permutation,app,132.25
baseline_low_r1,baseline,baseline,low,1,110.0,mem_mib,permutation,app,132.33
baseline_low_r1,baseline,baseline,low,1,120.0,mem_mib,permutation,app,132.76
baseline_low_r1,baseline,baseline,low,1,0.0,cpu_cores,fibonacci,app,0.1268
baseline_low_r1,baseline,baseline,low,1,10.0,cpu_cores,fibonacci,app,0.1898
baseline_low_r1,baseline,baseline,low,1,20.0,cpu_cores,fibonacci,app,0.2139
baseline_low_r1,baseline,baseline,low,1,30.0,cpu_cores,fibonacci,app,0.2476
baseline_low_r1,baseline,baseline,low,1,40.0,cpu_cores,fibonacci,app,0.2213
baseline_low_r1,baseline,baseline,low,1,50.0,cpu_cores,fibonacci,app,0.2511
baseline_low_r1,baseline,baseline,low,1,60.0,cpu_cores,fibonacci,app,0.2493
baseline_low_r1,baseline,baseline,low,1,70.0,cpu_cores,fibonacci,app,0.2493
baseline_low_r1,baseline,baseline,low,1,80.0,cpu_cores,fibonacci,app,0.2515
baseline_low_r1,baseline,baseline,low,1,90.0,cpu_cores,fibonacci,app,0.2519
baseline_low_r1,baseline,baseline,low,1,100.0,cpu_cores,fibonacci,app,0.2496
baseline_low_r1,baseline,baseline,low,1,110.0,cpu_cores,fibonacci,app,0.2539
baseline_low_r1,baseline,baseline,low,1,120.0,cpu_cores,fibonacci,app,0.2347
baseline_low_r1,baseline,baseline,low,1,0.0,mem_mib,fibonacci,app,161.12
baseline_low_r1,baseline,baseline,low,1,10.0,mem_mib,fibonacci,app,161.29
baseline_low_r1,baseline,baseline,low,1,20.0,mem_mib,fibonacci,app,161.5
baseline_low_r1,baseline,baseline,low,1,30.0,mem_mib,fibonacci,app,161.48
baseline_low_r1,baseline,baseline,low,1,40.0,mem_mib,fibonacci,app,161.19
baseline_low_r1,baseline,baseline,low,1,50.0,mem_mib,fibonacci,app,161.19
baseline_low_r1,baseline,baseline,low,1,60.0,mem_mib,fibonacci,app,160.95
baseline_low_r1,baseline,baseline,low,1,70.0,mem_mib,fibonacci,app,160.97
baseline_low_r1,baseline,baseline,low,1,80.0,mem_mib,fibonacci,app,161.32
baseline_low_r1,baseline,baseline,low,1,90.0,mem_mib,fibonacci,app,161.29
baseline_low_r1,baseline,baseline,low,1,100.0,mem_mib,fibonacci,app,161.55
baseline_low_r1,baseline,baseline,low,1,110.0,mem_mib,fibonacci,app,161.29
baseline_low_r1,baseline,baseline,low,1,120.0,mem_mib,fibonacci,app,161.3
baseline_low_r1,baseline,baseline,low,1,0.0,cpu_cores,integration,app,0.0211
baseline_low_r1,baseline,baseline,low,1,10.0,cpu_cores,integration,app,0.0321
baseline_low_r1,baseline,baseline,low,1,20.0,cpu_cores,integration,app,0.0361
baseline_low_r1,baseline,baseline,low,1,30.0,cpu_cores,integration,app,0.0433
baseline_low_r1,baseline,baseline,low,1,40.0,cpu_cores,integration,app,0.0429
baseline_low_r1,baseline,baseline,low,1,50.0,cpu_cores,integration,app,0.042
baseline_low_r1,baseline,baseline,low,1,60.0,cpu_cores,integration,app,0.0429
baseline_low_r1,baseline,baseline,low,1,70.0,cpu_cores,integration,app,0.042
baseline_low_r1,baseline,baseline,low,1,80.0,cpu_cores,integration,app,0.0422
baseline_low_r1,baseline,baseline,low,1,90.0,cpu_cores,integration,app,0.0428
baseline_low_r1,baseline,baseline,low,1,100.0,cpu_cores,integration,app,0.0418
baseline_low_r1,baseline,baseline,low,1,110.0,cpu_cores,integration,app,0.0408
baseline_low_r1,baseline,baseline,low,1,120.0,cpu_cores,integration,app,0.0389
baseline_low_r1,baseline,baseline,low,1,0.0,mem_mib,integration,app,167.05
baseline_low_r1,baseline,baseline,low,1,10.0,mem_mib,integration,app,167.04
baseline_low_r1,baseline,baseline,low,1,20.0,mem_mib,integration,app,167.54
baseline_low_r1,baseline,baseline,low,1,30.0,mem_mib,integration,app,167.04
baseline_low_r1,baseline,baseline,low,1,40.0,mem_mib,integration,app,167.04
baseline_low_r1,baseline,baseline,low,1,50.0,mem_mib,integration,app,167.29
baseline_low_r1,baseline,baseline,low,1,60.0,mem_mib,integration,app,167.39
baseline_low_r1,baseline,baseline,low,1,70.0,mem_mib,integration,app,167.34
baseline_low_r1,baseline,baseline,low,1,80.0,mem_mib,integration,app,167.45
baseline_low_r1,baseline,baseline,low,1,90.0,mem_mib,integration,app,167.68
baseline_low_r1,baseline,baseline,low,1,100.0,mem_mib,integration,app,167.19
baseline_low_r1,baseline,baseline,low,1,110.0,mem_mib,integration,app,167.26
baseline_low_r1,baseline,baseline,low,1,120.0,mem_mib,integration,app,167.45
baseline_low_r1,baseline,baseline,low,1,0.0,cpu_cores,differential,app,0.0201
baseline_low_r1,baseline,baseline,low,1,10.0,cpu_cores,differential,app,0.0295
