run_id,config,mesh,level,rep,t_rel_s,kind,service,container,value
linkerd_nomtls_low_r1,linkerd_nomtls,linkerd,low,1,0.0,cpu_cores,permutation,app,0.0618
linkerd_nomtls_low_r1,linkerd_nomtls,linkerd,low,1,10.0,cpu_cores,permutation,app,0.0848
linkerd_nomtls_low_r1,linkerd_nomtls,linkerd,low,1,20.0,cpu_cores,permutation,app,0.0908
linkerd_nomtls_low_r1,linkerd_nomtls,linkerd,low,1,30.0,cpu_cores,permutation,app,0.11
linkerd_nomtls_low_r1,linkerd_nomtls,linkerd,low,1,40.0,cpu_cores,permutation,app,0.108
linkerd_nomtls_low_r1,linkerd_nomtls,linkerd,low,1,50.0,cpu_cores,permutation,app,0.1131
linkerd_nomtls_low_r1,linkerd_nomtls,linkerd,low,1,60.0,cpu_cores,permutation,app,0.1135
linkerd_nomtls_low_r1,linkerd_nomtls,linkerd,low,1,70.0,cpu_cores,permutation,app,0.1081
linkerd_nomtls_low_r1,linkerd_nomtls,linkerd,low,1,80.0,cpu_cores,permutation,app,0.112
linkerd_nomtls_low_r1,linkerd_nomtls,linkerd,low,1,90.0,cpu_cores,permutation,app,0.1144
linkerd_nomtls_low_r1,linkerd_nomtls,linkerd,low,1,100.0,cpu_cores,permutation,app,0.1128
linkerd_nomtls_low_r1,linkerd_nomtls,linkerd,low,1,110.0,cpu_cores,permutation,app,0.1129
linkerd_nomtls_low_r1,linkerd_nomtls,linkerd,low,1,120.0,cpu_cores,permutation,app,0.0935
linkerd_nomtls_low_r1,linkerd_nomtls,linkerd,low,1,0.0,mem_mib,permutation,app,140.21
linkerd_nomtls_low_r1,linkerd_nomtls,linkerd,low,1,10.0,mem_mib,permutation,app,140.46
linkerd_nomtls_low_r1,linkerd_nomtls,linkerd,low,1,20.0,mem_mib,permutation,app,140.63
linkerd_nomtls_low_r1,linkerd_nomtls,linkerd,low,1,30.0,mem_mib,permutation,app,140.98
linkerd_nomtls_low_r1,linkerd_nomtls,linkerd,low,1,40.0,mem_mib,permutation,app,141.25
linkerd_nomtls_low_r1,linkerd_nomtls,linkerd,low,1,50.0,mem_mib,permutation,app,140.8
linkerd_nomtls_low_r1,linkerd_nomtls,linkerd,low,1,60.0,mem_mib,permutation,app,140.99
linkerd_nomtls_low_r1,linkerd_nomtls,linkerd,low,1,70.0,mem_mib,permutation,app,141.31
linkerd_nomtls_low_r1,linkerd_nomtls,linkerd,low,1,80.0,mem_mib,permutation,app,141.3
linkerd_nomtls_low_r1,linkerd_nomtls,linkerd,low,1,90.0,mem_mib,permutation,app,140.77
linkerd_nomtls_low_r1,linkerd_nomtls,linkerd,low,1,100.0,mem_mib,permutation,app,140.78
linkerd_nomtls_low_r1,linkerd_nomtls,linkerd,low,1,110.0,mem_mib,permutation,app,140.98
linkerd_nomtls_low_r1,linkerd_nomtls,linkerd,low,1,120.0,mem_mib,permutation,app,140.74
linkerd_nomtls_low_r1,linkerd_nomtls,linkerd,low,1,0.0,cpu_cores,fibonacci,app,0.1353
linkerd_nomtls_low_r1,linkerd_nomtls,linkerd,low,1,10.0,cpu_cores,fibonacci,app,0.1465
linkerd_nomtls_low_r1,linkerd_nomtls,linkerd,low,1,20.0,cpu_cores,fibonacci,app,0.2288
linkerd_nomtls_low_r1,linkerd_nomtls,linkerd,low,1,30.0,cpu_cores,fibonacci,app,0.2054
linkerd_nomtls_low_r1,linkerd_nomtls,linkerd,low,1,40.0,cpu_cores,fibonacci,app,0.2272
linkerd_nomtls_low_r1,linkerd_nomtls,linkerd,low,1,50.0,cpu_cores,fibonacci,app,0.225
linkerd_nomtls_low_r1,linkerd_nomtls,linkerd,low,1,60.0,cpu_cores,fibonacci,app,0.2289
linkerd_nomtls_low_r1,linkerd_nomtls,linkerd,low,1,70.0,cpu_cores,fibonacci,app,0.2311
linkerd_nomtls_low_r1,linkerd_nomtls,linkerd,low,1,80.0,cpu_cores,fibonacci,app,0.2272
linkerd_nomtls_low_r1,linkerd_nomtls,linkerd,low,1,90.0,cpu_cores,fibonacci,app,0.2342
linkerd_nomtls_low_r1,linkerd_nomtls,linkerd,low,1,100.0,cpu_cores,fibonacci,app,0.2366
linkerd_nomtls_low_r1,linkerd_nomtls,linkerd,low,1,110.0,cpu_cores,fibonacci,app,0.2367
linkerd_nomtls_low_r1,linkerd_nomtls,linkerd,low,1,120.0,cpu_cores,fibonacci,app,0.2327
