Relative_Second,Avg_Total_Service_CPU(m),Avg_Total_Service_Memory(Mi)
0,10.8,120.6
1,10.8,120.6
2,10.8,120.6
3,12.6,120.6
4,12.6,120.6
5,12.6,120.6
6,17.5,120.7
7,18.4,120.7
8,13.9,120.7
9,30.2,120.8
10,30.2,120.8
11,58.2,120.9
12,58.2,120.9
13,90.8,121.1
14,124.9,121.2
15,161.3,121.3
16,195.9,121.4
17,195.9,121.4
18,225.6,121.5
19,269.0,121.6
20,307.9,121.7
21,349.5,121.9
22,383.3,121.9
23,383.3,121.9
24,398.8,121.9
25,398.8,121.9
26,418.8,122.0
27,418.8,122.0
28,446.3,122.1
29,453.4,122.1
30,453.4,122.1
31,469.0,122.2
32,469.4,122.4
33,473.4,122.4
34,472.9,122.3
35,461.0,122.3
36,461.0,122.3
37,448.8,122.2
38,448.8,122.2
39,426.2,121.9
40,414.0,121.8
41,375.4,121.6
42,342.4,121.5
43,342.4,121.5
44,313.4,121.3
45,277.7,120.9
46,232.5,120.8
47,191.6,120.7
48,155.1,120.6
49,155.1,120.6
50,123.8,120.6
51,93.8,120.7
52,93.8,120.7
53,58.2,120.7
54,46.6,120.7
55,37.5,120.7
56,37.5,120.7
57,27.6,120.7
58,14.6,120.7
59,14.6,120.7
60,12.5,120.7
61,13.67,120.5
