Relative_Second,Avg_Total_Service_CPU(m),Avg_Total_Service_Memory(Mi)
0,12.7,203.4
1,8.3,203.9
2,7.5,203.9
3,7.5,203.9
4,8.9,203.9
5,8.9,203.9
6,12.0,203.9
7,20.8,204.2
8,27.0,204.3
9,27.0,204.3
10,27.0,204.3
11,49.2,204.7
12,49.2,204.7
13,57.4,204.7
14,68.9,204.8
15,78.2,204.9
16,78.2,204.9
17,92.0,205.1
18,92.0,205.1
19,124.0,205.3
20,151.9,205.3
21,151.9,205.3
22,151.9,205.3
23,181.8,205.5
24,181.8,205.5
25,196.0,205.6
26,196.0,205.6
27,223.0,205.6
28,223.0,205.6
29,242.2,205.5
30,242.2,205.5
31,231.1,205.5
32,231.1,205.5
33,233.9,205.6
34,233.9,205.6
35,233.9,205.6
36,222.5,205.4
37,222.5,205.4
38,216.8,205.3
39,202.9,205.2
40,183.0,205.2
41,161.6,205.1
42,152.9,205.0
43,113.5,204.9
44,113.5,204.9
45,97.5,204.7
46,97.5,204.7
47,97.5,204.7
48,97.5,204.7
49,62.1,204.4
50,62.1,204.4
51,45.4,204.4
52,33.9,204.3
53,29.0,204.3
54,28.7,204.3
55,18.12,204.38
56,17.25,204.25
57,17.25,204.25
58,15.14,204.29
59,15.17,204.5
60,21.33,203.33
