Elapsed_Time(s),Progress(%),Active_VUs,Iterations_per_sec
01.0,3,0,25.0
02.0,7,0,25.0
03.0,10,0,25.0
04.0,13,0,25.0
05.0,17,0,25.0
06.0,20,0,25.0
07.0,23,0,25.0
08.0,27,0,25.0
09.0,30,0,25.0
10.0,33,0,25.0
11.0,37,0,25.0
12.0,40,0,25.0
13.0,43,0,25.0
14.0,47,0,25.0
15.0,50,0,25.0
16.0,53,0,25.0
17.0,57,0,25.0
18.0,60,0,25.0
19.0,63,0,25.0
20.0,67,0,25.0
21.0,70,0,25.0
22.0,73,0,25.0
23.0,77,0,25.0
24.0,80,0,25.0
25.0,83,0,25.0
26.0,87,0,25.0
27.0,90,0,25.0
28.0,93,0,25.0
29.0,97,0,25.0
30.0,100,0,25.0
30,100,0,25.0
