Relative_Second,Avg_Total_Service_CPU(m),Avg_Total_Service_Memory(Mi)
0,7.6,130.3
1,5.9,130.3
2,4.6,130.3
3,4.6,130.3
4,3.0,130.3
5,3.0,130.3
6,4.3,130.3
7,4.3,130.3
8,5.5,130.3
9,5.5,130.3
10,12.6,130.5
11,12.6,130.5
12,13.3,130.5
13,18.2,130.8
14,21.4,130.8
15,21.4,130.8
16,25.1,130.8
17,32.8,131.0
18,32.8,131.0
19,41.2,131.2
20,50.6,131.2
21,59.3,131.2
22,59.3,131.2
23,67.7,131.2
24,72.8,131.2
25,82.3,131.3
26,87.3,131.2
27,87.3,131.2
28,94.8,131.3
29,102.3,131.3
30,102.3,131.3
31,105.1,131.1
32,105.1,131.1
33,106.8,130.9
34,107.2,130.9
35,108.5,131.0
36,104.1,130.8
37,105.5,130.8
38,105.5,130.8
39,101.1,130.7
40,97.1,130.6
41,92.6,130.5
42,85.2,130.6
43,85.2,130.6
44,66.7,130.6
45,66.7,130.6
46,56.6,130.6
47,56.6,130.6
48,46.9,130.5
49,41.7,130.5
50,33.1,130.5
51,33.1,130.5
52,28.6,130.5
53,22.8,130.5
54,18.2,130.5
55,18.2,130.5
56,14.4,130.5
57,12.6,130.5
58,12.6,130.5
59,11.3,130.5
60,11.3,130.5
61,12.22,130.56
62,8.88,130.5
63,8.8,130.4
